Chicken and Turkey Cut Name,Weight
Whole Chicken,4.37
Chicken Breast (Bone-In),1.58
"Chicken Breast (Boneless, Skin-on)",0.89
"Chicken Breast (Boneless, Skinless)",0.95
Chicken Drumsticks (Bone-In),1.29
Chicken Drumsticks (Boneless),0.71
"Chicken Thighs (Bone-In, Skin-on)",1.88
"Chicken Thighs (Boneless, Skin-on)",2.00
"Chicken Thighs (Boneless, Skinless)",1.19
Chicken Whole Legs,1.43
"Chicken Wings, Cutup",1.16
"Chicken Wings, Whole",1.05
Chicken Bones,4.36
Chicken Feet,2.17
Chicken Gizzards,1.17
Chicken Heart,1.17
Chicken Liver,1.17
Chicken Neck,1.20
Chicken Skin,1.07
Whole Turkey,18.98